OBJECTID;CODIGO;nombre;CATEGORIA;TECNOLOGIA;ESTADO;FECHA_INSTALACION;altitud;latitud;longitud;DEPARTAMENTO;MUNICIPIO;AREA_OPERATIVA;AREA_HIDROGRAFICA;ZONA_HIDROGRAFICA;observacion;CORRIENTE;FECHA_SUSPENSION;SUBZONA_HIDROGRAFICA;ENTIDAD;subred
3455;23040070;CAÑAVERAL;Pluviométrica;Convencional;Activa;1974-08-15;1060;5.32328611;-74.93885833;Caldas;Victoria;Area Operativa 10 - Tolima;Magdalena Cauca;Medio Magdalena;03/12/2021$Migracion$REQ 2021-008133. Por solicitud del Coordinador del AO, se hacen ajustes de coordenadas y elevacion.;0;;Río Guarinó;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3456;3515000110;LA ESPERANZA [3515000110];Pluviométrica;Convencional;Activa;2015-06-04;163;3.79;-72.27;Meta;Puerto Gaitán;Area Operativa 03 - Meta-Guaviare-Guainía;Orinoco;Meta;Estacion Homologada con LA ESPERANZA [35127030] . Datos Transferidos desde 04/06/2015.|14/03/2022$Migracion$Proceso de Homologacion segunda fase aplazada por solicitud de Informática por carga masiva de datos.;0;;Río Manacacias;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3457;11047040;QUIBDO - AUT [11047040];Limnigráfica;Automática con Telemetría;En Mantenimiento;2008-11-30;21;5.7;-76.66;Chocó;Quibdó;Area Operativa 01 - Antioquia-Chocó;Caribe;Atrato - Darién;Estacion Pendiente Homologacion 2|16/05/2022$Migracion$Estacion Pendiente Homologacion 2|16/05/2022$Migracion$Estacion Pendiente Homologacion 2|16/05/2022$Migracion$Estacion Pendiente Homologacion 2|08/11/2022$Migracion$Estacion Pendiente Homologacion 2|16/05/2022$Migracion$Estacion Pendiente Homologacion 2|16/05/2022$Migracion$Estacion Pendiente Homologacion 2|16/05/2022$Migracion$Estacion Pendiente Homologacion 2;Atrato;;Río Cabi y otros Directos Atrato (md);INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3458;5311500149;COLEGIO VASCO NUÑEZ DE BALBOA [5311500149];Meteorológica Especial;Automática con Telemetría;En Mantenimiento;2019-12-13;9;3.88419444;-77.04938056;Valle del Cauca;Buenaventura;Area Operativa 09 - Cauca-Valle-Caldas;Pacifico;Tapaje - Dagua - Directos;EL GRUPO DE AUTOMATIZACION REPORTA QUE LA ESTACION FUE RETIRADA POR CONSTRUCCIÓN DE MURO QUE INTERFERÍA EN CALIDAD DE DATOS DE AIRE. ESTACION EN MANTENIMIENTO (07/12/2022);Dagua;;Dagua - Buenaventura - Bahia Málaga;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3459;5204700100;PUENTE LOS DOLORES - AUT  [5204700100];Limnigráfica;TEST005;En Mantenimiento;2017-06-26;2697;1.19980556;-77.26569444;Nariño;Pasto;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;Actualizada Tecnología. Tipo de Transmisión y Estado por solicitud del coordinador del AO. (15022023);Pasto;;Río Juananbú;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3460;44157010;MERCEDES LAS [44157010];Limnimétrica;Convencional;Activa;1986-04-15;123;-0.63844444;-72.34475;Amazonas;Santander (Araracuara);Area Operativa 04 - Huila-Caquetá;Amazonas;Caquetá;Actualizada categoria de LG a LM por solicitud de la coordinadora del AO. (07032023);Caqueta;;Río Caqueta Bajo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3461;46037060;PUERTO RICO [46037060];Limnimétrica;Convencional;Activa;1977-02-15;450;1.91752778;-75.15066667;Caquetá;Puerto Rico (Caquetá);Area Operativa 04 - Huila-Caquetá;Amazonas;Caguán;Actualizada categoria de LG a LM por solicitud de la coordinadora del AO. (07032023);Guayas;;Río Guayas;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3462;16050100;EL CHORRO [16050100];Pluviométrica;Convencional;Activa;1968-05-15;1498;8.01747222;-73.18375;Norte de Santander;Ábrego;Area Operativa 08 - Santanderes-Arauca;Caribe;Catatumbo;Mesa de servicio REQ 20180 10779;0;;Río Algodonal (Alto Catatumbo);INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3463;2319700100;PIEDECUESTANA [2319700100];Limnimétrica;Convencional;Activa;2017-11-07;1096;6.99307222;-73.03546944;Santander;Piedecuesta;Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Medio Magdalena;Orfeo 20177080001553 del área operativa 08;De Oro;;Río Lebrija y otros directos al Magdalena;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3464;2319500066;SABANA DE TORRES - AUT [2319500066];Climática Principal;Automática con Telemetría;Activa;2017-11-08 19:00;144;7.38902778;-73.48888889;Santander;Sabana De Torres;Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Medio Magdalena;Complemento información;0;;Río Lebrija y otros directos al Magdalena;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3465;44035020;AEROPUERTO G ARTUNDUAGA [44035020];Climática Ordinaria;Convencional;Suspendida;1969-10-15;244;1.58905556;-75.55955556;Caquetá;Florencia (Caquetá);Area Operativa 04 - Huila-Caquetá;Amazonas;Caquetá;"Solicitado mediante orfeo 20187040002793|26/08/2022$Migracion$Se Cambia Estado por orden de la Coordinación de Planeacion Operativa Decisión tomada en la Reunión de la RED 19/08/2022
Actualizado estado a Suspendida por solicitud de la Coordinadora del AO. SUSPENSIÓN DEFINITIVA, LLEVA MÁS DE 5 AÑOS EN MANTENIMIENTO Y NO HAY OBSERVADOR EN LA ZONA (19042023)";0;;Río Orteguaza;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;SINOPTICA,
3466;26235030;MATANZAS [26235030];Climática Ordinaria;Convencional;Suspendida;1993-04-14 19:00;569;7.03583333;-75.66594444;Antioquia;Toledo (Antioquia);Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Cauca;Solicitado mediante Orfeo 20177010004873;0;2018-09-27 9:11;Directos Río Cauca  entre Río San Juan y  Pto Valdivia;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3467;27045020;CASERI [27045020];Climática Ordinaria;Convencional;Suspendida;1970-05-14 19:00;72;7.81172222;-74.93597222;Antioquia;Caucasia;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Nechí;Solicitado mediante Orfeo 20177010004873;0;2018-09-27 9:12;Directos al Bajo Nechí (mi);INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3468;25025090;AEROPUERTO LAS FLORES [25025090];Climática Principal;Convencional;Activa;1952-02-14 19:00;34;9.04633333;-73.97083333;Magdalena;El Banco;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Magdalena Cauca;Bajo Magdalena;Corrección solicitada ,mediante mesa de servicio REQ 2018-012087;0;;Directos Bajo Magdalena entre El Banco y El Plato;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;SINOPTICA,
3469;2906500077;PALMOR - SIERRA NEVADA - AUT [2906500077];Climática Principal;Automática con Telemetría;En Mantenimiento;2017-04-21;1050;10.77175;-74.01913889;Magdalena;Ciénaga;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Magdalena Cauca;Bajo Magdalena;Complemento información;0;;Cga Grande de Santa Marta;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3470;2403500083;PESCA - AUT [2403500083];Climática Principal;Automática con Telemetría;En Mantenimiento;2017-10-13;2764;5.524;-73.07655;Boyacá;Pesca;Area Operativa 06 - Boyacá-Casanare-Vichada;Magdalena Cauca;Sogamoso;Complemento información|05/12/2022$Migracion$Complemento información|05/12/2022$Migracion$Complemento información|05/12/2022$Migracion$Complemento información;0;;Río Chicamocha;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3471;2403500085;SUSA - AUT [2403500085];Climática Principal;Automática con Telemetría;En Mantenimiento;2017-10-27;2467;6.23262;-72.69197;Santander;Onzaga;Area Operativa 06 - Boyacá-Casanare-Vichada;Magdalena Cauca;Sogamoso;Complemento información;0;;Río Chicamocha;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3472;15067280;JOTOMANA [15067280];Limnimétrica;Convencional;Activa;2012-10-31 19:00;59;11.31891389;-72.55405556;La Guajira;Albania (La guajira);Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;Solicitado mediante correo electrónico del área 05;Rancheria;;Río Ranchería;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3473;11037030;LA LOMA PUEBLO [11037030];Limnigráfica;Automática con Telemetría;Suspendida;2005-04-15;72;5.58466667;-76.75327778;Chocó;Rio Quito (Paimadó);Area Operativa 01 - Antioquia-Chocó;Caribe;Atrato - Darién;Mediante orfeo 20187010005963 el Coordinador del AO 01 solicita suspender estacion.;Quito;2018-10-11 10:10;Río Quito;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3474;47017701;CANAL A [47017701];Limnimétrica;Convencional;Suspendida;1977-02-14 19:00;265;1.11444444;-76.97694444;Putumayo;San Francisco (Putumayo);Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Cambio de nombre solicitado por correo electrónico;Putumayo;2018-10-08 4:27;Alto Río Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3475;27015150;PROGRESO EL HACIENDA [27015150];Climática Ordinaria;Convencional;Suspendida;1973-04-14 19:00;1345;6.44747222;-75.39716667;Antioquia;Don Matías;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Nechí;Orfeo 20187010005973;0;2018-10-09 5:08;Río Porce;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3476;23105060;VEGACHI - AUT [23105060];Agrometeorológica;Automática con Telemetría;Suspendida;2004-11-19 19:00;990;6.77411111;-74.79652778;Antioquia;Vegachí;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Medio Magdalena;20187010005973;0;2018-10-09 5:08;Rió San Bartolo y otros directos al Magdalena Medio;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Radiación Ultravioleta,Radiación Visible,
3477;12017040;RIOGRANDE [12017040];Limnimétrica;Convencional;Suspendida;1977-07-14 19:00;22;7.92783333;-76.62111111;Antioquia;Turbo;Area Operativa 01 - Antioquia-Chocó;Caribe;Caribe - Litoral;Mediante orfeo 20187010005963;Grande;2018-10-11 5:10;Río León;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3478;24017150;LA BOYERA AUT [24017150];Limnimétrica;Convencional;Activa;1960-01-15;2610;5.303;-73.85133333;Cundinamarca;Ubaté;Area Operativa 11 - Cundinamarca-Amazonas;Magdalena Cauca;Sogamoso;Corrección georreferenciación|18/08/2022$Migracion$Corrección georreferenciación;Ubate;;Río Suárez;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3479;54050010;NOANAMA [54050010];Climática Ordinaria;Automática con Telemetría;En Mantenimiento;1969-01-15;18;4.71666667;-76.91666667;Chocó;Istmina;Area Operativa 09 - Cauca-Valle-Caldas;Pacifico;San Juán;Por REQ2021-000578 Se hacen ajustes solicitados por la Coordinadora del AO 09.|26/08/2022$Migracion$Se Cambia Estado por orden de la Coordinación de Planeacion Operativa Decisión tomada en la Reunión de la RED 19/08/2022;0;;Río San Juan Medio;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3480;21197010;EL PROFUNDO - AUT [21197010];Limnigráfica;TEST005;En Mantenimiento;1954-04-15;1860;4.01169444;-74.50444444;Cundinamarca;Cabrera (Cundinamarca);Area Operativa 11 - Cundinamarca-Amazonas;Magdalena Cauca;Alto Magdalena;"Cambio de tecnología por instalación o repotenciación de estaciones proyecto Fondo de Adaptación
Actualizadas Tecnologia. Tipo de Transmision y Estado por solicitud de la coordinadora del AO (21032023)";Sumapaz;;Río Sumapaz;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Altiplano Cundiboyacense y oriente de Santander,RED ALERTAS - AREA OPERATIVA 11,
3481;11105020;CARMEN DEL DARIEN -AUT [11105020];Climática Ordinaria;Automática con Telemetría;En Mantenimiento;2005-09-28;18;7.15433333;-76.97719444;Chocó;Carmen Del Darién  (Curbaradó);Area Operativa 01 - Antioquia-Chocó;Caribe;Atrato - Darién;EL GRUPO DE AUTOMATIZACIÓN REPORTA QUE LA ESTACIÓN NO ESTA TRANSMITIENDO. ESTACIÓN EN MANTENIMIENTO (06/12/2022);0;;Río Sucio;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3482;11030010;CERTEGUI [11030010];Pluviométrica;TEST005;Activa;1967-01-15;72;5.38;-76.61;Chocó;Cértegui;Area Operativa 09 - Cauca-Valle-Caldas;Caribe;Atrato - Darién;EL GRUPO DE AUTOMATIZACION REPORTA QUE LA ESTACION DEJO DE TRANSMITIR EL 30/10/22. ESTACION EN MANTENIMIENTO (07/12/2022);0;;Río Quito;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3483;12017070;CERRAZON LA [12017070];Limnigráfica;Automática sin Telemetría;Suspendida;1986-09-14 19:00;40;7.72086111;-76.57636111;Antioquia;Chigorodó;Area Operativa 01 - Antioquia-Chocó;Caribe;Caribe - Litoral;Mediante orfeo 20187010005963;Chigorodo;2018-10-11 5:10;Río León;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3484;23087180;SIRPES LOS [23087180];Limnigráfica;Automática sin Telemetría;Suspendida;1973-05-14 19:00;375;6.37544444;-75.16125;Antioquia;Concepción (Antioquia);Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Medio Magdalena;Mediante orfeo 20187010005963;Quebrada La Concepcion;2018-10-11 5:11;Río Nare;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3485;23087830;FRESERA LA [23087830];Limnigráfica;Automática sin Telemetría;Suspendida;1993-09-14 19:00;650;6.19972222;-75.33408333;Antioquia;Rionegro (Antioquia);Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Medio Magdalena;Mediante orfeo 20187010005963;Negro;2018-10-11 5:11;Río Nare;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3486;26167090;COSTA AZUL  [26167090];Limnigráfica;Automática sin Telemetría;Suspendida;1984-08-14 19:00;1800;5.35633333;-75.49286111;Caldas;Salamina (Caldas);Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Cauca;Mediante orfeo 20187010005963;Chamberi;2018-10-11 5:11;Rio Tapias y otros directos al Cauca;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3487;26197010;CAMPAMENTO [26197010];Limnigráfica;Automática sin Telemetría;Suspendida;1971-09-14 19:00;1228;5.68133333;-75.87558333;Antioquia;Andes;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Cauca;Mediante orfeo 20187010005963;San Juan;2018-10-11 5:11;Río San Juan;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3488;26237050;PUENTE PESCADERO [26237050];Limnigráfica;Convencional;Suspendida;1979-11-14 19:00;425;7.08833333;-75.69591667;Antioquia;Toledo (Antioquia);Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Cauca;Mediante orfeo 20187010005963;Cauca;2018-10-11 5:12;Directos Río Cauca entre Río San Juan y Pto Valdia;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3489;26237100;OLAYA [26237100];Limnigráfica;Convencional;Suspendida;1981-10-14 19:00;175;6.64494444;-75.82616667;Antioquia;Liborina;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Cauca;Mediante orfeo 20187010005963;Cauca;2018-10-11 5:12;Directos Río Cauca  entre Río San Juan y  Pto Valdivia;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3490;44037090;LARANDIA [44037090];Limnigráfica;Automática sin Telemetría;Suspendida;1971-03-14 19:00;390;1.48908333;-75.49325;Caquetá;Florencia (Caquetá);Area Operativa 04 - Huila-Caquetá;Amazonas;Caquetá;Solicitado mediante orfeo 20187040003443;Orteguaza;2018-10-23 6:53;Río Orteguaza;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3491;21080130;TOTUMO EL HACIENDA [21080130];Pluviográfica;Convencional;Suspendida;1983-06-14 19:00;790;2.59375;-75.62119444;Huila;Íquira;Area Operativa 04 - Huila-Caquetá;Magdalena Cauca;Alto Magdalena;Solicitado mediante orfeo 20187040003443;0;2018-10-23 6:54;Río Yaguará y Río Iquira;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3492;21120130;RIONEGRO HACIENDA [21120130];Pluviométrica;Convencional;Suspendida;1979-10-14 19:00;560;2.91186111;-75.42605556;Huila;Palermo;Area Operativa 04 - Huila-Caquetá;Magdalena Cauca;Alto Magdalena;Solicitado mediante orfeo 20187040003443;0;2018-10-23 6:54;Río Baché;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3493;21115070;PORTAL EL [21115070];Climática Ordinaria;Convencional;Suspendida;1963-06-14 19:00;1300;3.01494444;-75.073;Huila;Tello;Area Operativa 04 - Huila-Caquetá;Magdalena Cauca;Alto Magdalena;Solicitado mediante orfeo 20187040003443;0;2018-10-23 6:55;Rio Fortalecillas y otros;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3494;21115140;LAURELES LOS [21115140];Climática Ordinaria;Convencional;Suspendida;1963-06-14 19:00;2100;3.094;-74.92111111;Huila;Baraya;Area Operativa 04 - Huila-Caquetá;Magdalena Cauca;Alto Magdalena;Solicitado mediante orfeo 20187040003443;0;2018-10-23 6:55;Río Cabrera;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3495;44187020;PEDRERA LA [44187020];Pluviométrica;Convencional;Activa;1984-05-14 19:00;102;-1.31316667;-69.59158333;Amazonas;La Pedrera;Area Operativa 04 - Huila-Caquetá;Amazonas;Caquetá;Solicitado mediante mesa de servicio INC 2019-000695;Caqueta;;Río Caqueta Bajo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3496;24017570;SAN BENITO [24017570];Limnimétrica;Convencional;Activa;1974-04-14 19:00;145;6.11833333;-73.49333333;Santander;San Benito;Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Sogamoso;Corrección solicitado por el grupo de automatización quienes informan que el componente automático es de propiedad de ISAGEN;Suarez;;Río Suárez;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Altiplano Cundiboyacense y oriente de Santander,RED ALERTAS - AREA OPERATIVA 08,
3497;16037030;PUENTE SARDINATA - AUT [16037030];Limnigráfica;TEST005;En Mantenimiento;1973-03-15;245;8.10361111;-72.79472222;Norte de Santander;Sardinata;Area Operativa 08 - Santanderes-Arauca;Caribe;Catatumbo;Requerido mediante mesa de servicio REQ 2018-016325|26/08/2022$Migracion$Se Cambia Estado por orden de la Coordinación de Planeacion Operativa Decisión tomada en la Reunión de la RED 19/08/2022;Sardinata;;Río Nuevo Presidente - Tres Bocas (Sardinata, Tibu);INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3498;16057040;QUINCE LETRAS - AUT [16057040];Limnigráfica;TEST005;En Mantenimiento;1971-11-15;360;8.54111111;-73.24611111;Norte de Santander;Teorama;Area Operativa 08 - Santanderes-Arauca;Caribe;Catatumbo;Requerido mediante mesa de servicio REQ 2018-016325|26/08/2022$Migracion$Se Cambia Estado por orden de la Coordinación de Planeacion Operativa Decisión tomada en la Reunión de la RED 19/08/2022;Catatumbo;;Río Algodonal (Alto Catatumbo);INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3499;16047010;PUENTE ABREGO - AUT [16047010];Limnigráfica;TEST005;En Mantenimiento;1971-10-15;1430;8.04333333;-73.08305556;Norte de Santander;Ábrego;Area Operativa 08 - Santanderes-Arauca;Caribe;Catatumbo;EL GRUPO DE AUTOMATIZACION REPORTA POSIBLE FALLA TX- ULTIMA TRANSMISION 12/10/2022. ESTACION EN MANTENIMIENTO (06/12/2022);Tarra;;Río Tarra;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3500;23147040;AYACUCHO - AUT [23147040];Limnimétrica;TEST005;En Mantenimiento;1992-10-15;101;6.85580556;-73.76933333;Santander;Simacota;Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Medio Magdalena;Requerido mediante mesa de servicio REQ 2018-016325|26/08/2022$Migracion$Se Cambia Estado por orden de la Coordinación de Planeacion Operativa Decisión tomada en la Reunión de la RED 19/08/2022;La Colorada;;Río Opón;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3501;37027010;PEÑA DE LOS MICOS - AUT [37027010];Limnigráfica;TEST005;En Mantenimiento;1972-10-15;870;7.19697222;-72.42477778;Norte de Santander;Toledo (Norte de Santander);Area Operativa 08 - Santanderes-Arauca;Orinoco;Arauca;Requerido mediante mesa de servicio REQ 2018-016325|26/08/2022$Migracion$Se Cambia Estado por orden de la Coordinación de Planeacion Operativa Decisión tomada en la Reunión de la RED 19/08/2022;Margua;;Río Margua;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3502;24037620;PUENTE VDA. CALVARIO [24037620];Limnigráfica;Automática sin Telemetría;Activa;2013-10-29;3106;6.49036111;-72.407;Boyacá;Guicán;Area Operativa 06 - Boyacá-Casanare-Vichada;Magdalena Cauca;Sogamoso;Corrección de nombre;Rio Cardenillo;;Río Chicamocha;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3503;24037630;RITACUBA NEGRO - [24037630];Limnigráfica;TEST006;Activa;2013-10-29;4307;6.50905556;-72.3295;Boyacá;Guicán;Area Operativa 06 - Boyacá-Casanare-Vichada;Magdalena Cauca;Sogamoso;Actualizada Tecnología por solicitud del coordinador del AO. (08022023);Rio Cardenillo;;Río Chicamocha;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3504;16027120;SAN JAVIER/PUENTE ZULIA - AUT [16027120];Limnigráfica;TEST005;En Mantenimiento;1958-07-15;270;7.83388889;-72.65027778;Norte de Santander;Durania;Area Operativa 08 - Santanderes-Arauca;Caribe;Catatumbo;Solicitado con  REQ 2019-002400 por mesa de servicio|26/08/2022$Migracion$Se Cambia Estado por orden de la Coordinación de Planeacion Operativa Decisión tomada en la Reunión de la RED 19/08/2022;Zulia;;Río Zulia;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3505;2702500107;ANGOSTURA - AUT   [2702500107];Climática Principal;Automática con Telemetría;Activa;2017-12-25 19:00;1756;6.90055556;-75.32601944;Antioquia;Angostura;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Nechí;Solicitado mediante correo electrónico por Jorge A. González, coordinador área operativa 11;0;;Alto Nechí;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3506;2904000176;UNIREFORMADA - AUT;Pluviométrica;Automática con Telemetría;Activa;2021-12-10;99;10.98525;-74.81592778;Atlantico;Barranquilla;Area Operativa 02 - Atlántico-Bolivar-Sucre;Magdalena Cauca;Bajo Magdalena;17/12/2021$Migracion$Solicitud Coordinador AO. Instalaciond e una nueva estacion meteorologica automatizada en la Corporación Universitaria Reformada (UNIREFORMADA) en Barranquilla (Atlantico), estaestacion creada mediante un convenio con la empresa TEBSA con relacion a una inversion forzosa no menos del 1%.;0;;Directos al Bajo Magdalena entre Calamar y desembocadura;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3507;2604500134;TORIBIO ALERTAS   TORIBIO - AUT   [2604500134];Climática Principal;Automática con Telemetría;Activa;2017-04-27;1759;2.95238889;-76.26208333;Cauca;Toribío;Area Operativa 09 - Cauca-Valle-Caldas;Magdalena Cauca;Cauca;Por REQ 2021-000578 se hacen ajustes solicitados por la Coordinadora AO.;0;;Río Palo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3508;21257080;QUINTA COBRA [21257080];Limnimétrica;Convencional;Suspendida;1972-04-15;360;4.96666667;-74.93333333;Tolima;Armero (Guayabal);Area Operativa 10 - Tolima;Magdalena Cauca;Alto Magdalena;;Lagunilla;1978-04-15;Río Lagunilla y Otros Directos al Magdalena;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3509;35077070;SALITRE EL [35077070];Limnimétrica;Convencional;Suspendida;1974-12-15;1285;4.98333333;-73.48333333;Boyacá;Somondoco;Area Operativa 06 - Boyacá-Casanare-Vichada;Orinoco;Meta;;Somondoco;1990-06-15;Río Garagoa;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3510;11050040;CALAORRA [11050040];Pluviométrica;Convencional;Suspendida;1977-02-15;50;5.76666667;-76.85;Chocó;Quibdó;Area Operativa 01 - Antioquia-Chocó;Caribe;Atrato - Darién;;Atrato;1994-03-15;Directos Atrato entre ríos Quito y Bojayá (mi);INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3511;29060480;CAPITOLIO [29060480];Pluviométrica;Convencional;Suspendida;1969-10-15;20;10.76666667;-74.23333333;Magdalena;Zona Bananera;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Magdalena Cauca;Bajo Magdalena;;Sevilla;1970-06-15;Cga Grande de Santa Marta;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3512;29060370;CHIMBORAZO [29060370];Pluviométrica;Convencional;Suspendida;1971-08-15;25;10.73333333;-74.33333333;Magdalena;Puebloviejo;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Magdalena Cauca;Bajo Magdalena;;Sevilla;1974-08-15;Cga Grande de Santa Marta;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3513;13017040;SAN CONALITO [13017040];Limnimétrica;Convencional;Suspendida;1990-06-15;100;7.68333333;-76.11666667;Córdoba;Tierralta;Area Operativa 02 - Atlántico-Bolivar-Sucre;Caribe;Sinú;;Manso;1998-12-15;Alto Sinú - Urrá;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
